https://w3id.org/okn/o/sdm#GeoShape,https://w3id.org/okn/o/sdm#box,http://www.w3.org/2000/01/rdf-schema#label
Baro_Shape," ""34.518749999999,7.431249999999 36.31541666666567,9.417083333332332""",Bounding box for Baro basin
Pongo_Basin_SS_Shape," ""24.14233611868619,6.682771856532459 27.741570450529053,9.345303077456506""",Bounding box for Pongo basin
Gambella_Shape," ""32.991536,6.27026 35.402297999999995,8.718837""",Bounding box for Gambella region
Muger_Shape," ""37.902916666667004,9.073750000000333 39.032916666667,9.97625000000033""",Bounding box for Muger basin
Bashilo_Shape," ""38.20374999999967,10.867083333333333 39.68291666666634,11.952916666666667""",Bounding box for Bashilo basin
Guder_Shape," ""37.27124999999967,8.691249999999666 38.16541666666633,9.872083333332998""",Bounding box for Guder basin
Jamma_Shape," ""38.44708333333367,9.188749999999667 39.82125000000033,10.955416666666332""",Bounding box for Jamma basin
Beko-Tippi_Shape," ""35.32041666666567,7.027916666666 35.95791666666566,7.473749999999332""",Bounding box for Beko-Tippi basin
Texas_Shape,"""106.64038428499993,25.83976504600014 -93.52181051299993,36.500568855000154""",Bounding box for Texas region
