https://w3id.org/okn/o/sd#SoftwareVersion,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#tag,https://w3id.org/okn/o/sd#hasVersionId,https://w3id.org/okn/o/sdm#hasModelCategory,https://w3id.org/okn/o/sd#hasConfiguration,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#hasExample,https://w3id.org/okn/o/sd#hasUsageNotes,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://w3id.org/okn/o/sd#hasAssumption,https://w3id.org/okn/o/sd#hasDocumentation,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#citation,https://w3id.org/okn/o/sd#contributor,https://w3id.org/okn/o/sd#dateCreated,https://w3id.org/okn/o/sd#datePublished,https://w3id.org/okn/o/sd#hasFunding,https://w3id.org/okn/o/sd#hasContactPerson,https://w3id.org/okn/o/sd#hasDownloadURL,https://w3id.org/okn/o/sd#hasFAQ,https://w3id.org/okn/o/sd#hasInstallationInstructions,https://w3id.org/okn/o/sd#hasPurpose,https://w3id.org/okn/o/sd#hasSampleVisualization,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#hasTypicalDataSource,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sd#license,https://w3id.org/okn/o/sd#logo,https://w3id.org/okn/o/sd#memoryRequirements,https://w3id.org/okn/o/sd#operatingSystems,https://w3id.org/okn/o/sd#processorRequirements,https://w3id.org/okn/o/sd#publisher,https://w3id.org/okn/o/sd#referencePublication,https://w3id.org/okn/o/sd#screenshot,https://w3id.org/okn/o/sd#shortDescription,https://w3id.org/okn/o/sd#softwareRequirements,https://w3id.org/okn/o/sd#website,https://w3id.org/okn/o/sdm#hasEquation,https://w3id.org/okn/o/sdm#hasGrid,https://w3id.org/okn/o/sdm#hasExplanationDiagram,https://w3id.org/okn/o/sdm#hasExplanationDiagram,https://w3id.org/okn/o/sd#hadPrimarySource
SIR1.0,SIR Model V1.0,latest,1.0.0,,SIR_cfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHME1.0,IHME Model V1.0,latest,1.0.0,,IHME-UW-COVID-19_cfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
